,--disable-scripts,--disable-decoders,--enable-small,--disable-threads,--disable-doc,--enable-debug
0,0,1,0,0,1,0
1,0,1,1,1,0,0
2,1,0,0,0,0,0
3,1,0,0,1,1,0
4,1,0,1,0,0,0
5,0,1,0,0,1,1
6,0,1,0,1,0,1
7,1,0,1,0,1,0
8,1,1,1,1,1,1
9,0,1,1,0,0,1
11,0,0,1,1,1,0
12,1,1,1,1,0,0
13,0,0,1,0,0,1
14,0,1,1,0,1,0
15,0,0,1,0,1,0
19,0,0,1,0,1,1
20,1,1,0,0,0,1
21,1,0,1,1,0,0
22,1,1,0,0,1,0
23,0,1,1,0,0,0
24,0,0,0,0,1,0
30,0,1,0,1,0,0
31,1,1,1,1,0,1
33,0,1,1,1,1,1
34,1,1,1,0,1,0
35,0,0,0,1,1,1
36,0,0,1,1,0,1
37,1,1,1,0,0,1
38,1,1,1,1,1,0
39,1,1,0,1,1,1
