,cabac,ref,deblock,analyse,me,subme,mixed_ref,me_range,trellis,8x8dct,fast_pskip,chroma_qp_offset,bframes,b_pyramid,b_adapt,direct,weightb,weightp,scenecut,rc_lookahead,mbtree,aq-mode
video_0,0.05,0.0,0.01,0.03,0.02,0.07,0.02,0.0,0.0,0.01,0.47,0.01,0.01,0.03,0.02,0.05,0.01,0.03,0.02,0.02,0.08,0.04
video_1,0.03,0.12,0.0,0.01,0.02,0.6,0.0,0.0,0.0,0.0,0.0,0.01,0.01,0.0,0.0,0.0,0.0,0.0,0.0,0.01,0.02,0.14
video_2,0.02,0.01,0.0,0.02,0.0,0.5,0.0,0.0,0.0,0.0,0.0,0.0,0.13,0.03,0.12,0.02,0.02,0.03,0.0,0.04,0.01,0.05
video_3,0.01,0.01,0.0,0.0,0.0,0.66,0.0,0.0,0.0,0.0,0.0,0.0,0.03,0.02,0.03,0.0,0.02,0.0,0.0,0.01,0.03,0.16
video_4,0.01,0.01,0.0,0.0,0.0,0.44,0.0,0.0,0.0,0.01,0.0,0.01,0.02,0.0,0.01,0.0,0.0,0.0,0.0,0.03,0.01,0.42
video_5,0.02,0.01,0.0,0.03,0.0,0.11,0.0,0.0,0.01,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.01,0.01,0.77,0.01
video_6,0.02,0.0,0.0,0.0,0.0,0.68,0.0,0.0,0.01,0.01,0.0,0.0,0.03,0.02,0.01,0.0,0.01,0.0,0.0,0.02,0.15,0.01
video_7,0.14,0.01,0.0,0.0,0.0,0.13,0.0,0.0,0.01,0.0,0.0,0.0,0.01,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.06,0.61
video_8,0.01,0.0,0.0,0.0,0.0,0.24,0.0,0.0,0.0,0.0,0.0,0.0,0.01,0.01,0.01,0.0,0.01,0.0,0.0,0.0,0.14,0.56
video_9,0.04,0.0,0.0,0.0,0.0,0.07,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.48,0.37
video_10,0.01,0.15,0.0,0.03,0.01,0.26,0.0,0.0,0.0,0.01,0.0,0.0,0.13,0.06,0.13,0.05,0.02,0.03,0.0,0.05,0.01,0.04
video_11,0.0,0.0,0.0,0.0,0.0,0.85,0.0,0.0,0.0,0.0,0.0,0.01,0.03,0.02,0.01,0.0,0.02,0.0,0.0,0.02,0.0,0.01
video_12,0.05,0.03,0.0,0.0,0.0,0.07,0.0,0.0,0.01,0.0,0.0,0.0,0.27,0.05,0.23,0.04,0.01,0.05,0.0,0.01,0.16,0.02
video_13,0.05,0.01,0.0,0.01,0.0,0.51,0.01,0.0,0.01,0.01,0.0,0.01,0.01,0.01,0.01,0.0,0.01,0.0,0.0,0.01,0.13,0.17
video_14,0.02,0.01,0.0,0.0,0.01,0.28,0.03,0.0,0.01,0.0,0.01,0.0,0.02,0.01,0.01,0.0,0.01,0.0,0.01,0.01,0.33,0.23
video_15,0.18,0.01,0.0,0.0,0.0,0.03,0.0,0.0,0.01,0.0,0.0,0.02,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.01,0.44,0.27
video_16,0.1,0.01,0.0,0.0,0.01,0.39,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.01,0.0,0.0,0.0,0.01,0.01,0.42,0.03
video_17,0.03,0.0,0.0,0.01,0.0,0.3,0.0,0.0,0.0,0.0,0.01,0.0,0.01,0.0,0.0,0.0,0.0,0.01,0.0,0.0,0.39,0.21
video_18,0.01,0.0,0.0,0.0,0.0,0.96,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.02,0.0
video_19,0.1,0.01,0.0,0.0,0.0,0.03,0.0,0.0,0.0,0.0,0.01,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.65,0.17
video_20,0.23,0.0,0.0,0.0,0.0,0.01,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.01,0.0,0.68,0.04
video_21,0.03,0.03,0.0,0.0,0.0,0.57,0.0,0.0,0.0,0.0,0.01,0.0,0.03,0.01,0.01,0.0,0.02,0.0,0.0,0.02,0.24,0.02
video_22,0.02,0.05,0.0,0.01,0.02,0.2,0.0,0.0,0.0,0.0,0.01,0.0,0.13,0.03,0.13,0.04,0.01,0.05,0.0,0.01,0.14,0.15
video_23,0.07,0.01,0.02,0.01,0.01,0.17,0.0,0.0,0.0,0.0,0.0,0.02,0.02,0.01,0.01,0.0,0.01,0.0,0.0,0.01,0.23,0.41
video_24,0.17,0.0,0.0,0.0,0.0,0.03,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.78,0.0
video_25,0.03,0.01,0.0,0.0,0.01,0.7,0.0,0.0,0.0,0.01,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.01,0.01,0.08,0.13
video_26,0.04,0.0,0.0,0.0,0.0,0.22,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.1,0.6
video_27,0.01,0.01,0.0,0.0,0.01,0.65,0.0,0.0,0.0,0.01,0.0,0.0,0.02,0.0,0.01,0.01,0.0,0.0,0.0,0.05,0.01,0.18
video_28,0.01,0.0,0.0,0.0,0.0,0.81,0.0,0.0,0.0,0.0,0.0,0.0,0.01,0.01,0.01,0.0,0.01,0.0,0.0,0.0,0.01,0.1
video_29,0.03,0.01,0.0,0.0,0.0,0.73,0.0,0.0,0.0,0.0,0.0,0.0,0.01,0.01,0.01,0.0,0.01,0.0,0.0,0.01,0.13,0.04
video_30,0.02,0.0,0.0,0.0,0.01,0.45,0.0,0.0,0.01,0.0,0.0,0.0,0.02,0.01,0.01,0.01,0.01,0.01,0.01,0.01,0.08,0.33
video_31,0.06,0.0,0.01,0.01,0.01,0.09,0.01,0.0,0.01,0.01,0.37,0.01,0.04,0.03,0.05,0.07,0.05,0.04,0.01,0.02,0.03,0.07
video_32,0.01,0.0,0.0,0.0,0.01,0.53,0.0,0.0,0.0,0.0,0.0,0.0,0.08,0.02,0.1,0.03,0.01,0.03,0.0,0.01,0.07,0.1
video_33,0.01,0.0,0.0,0.0,0.0,0.25,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.09,0.63
video_34,0.09,0.0,0.0,0.0,0.0,0.75,0.0,0.0,0.0,0.0,0.0,0.0,0.01,0.01,0.01,0.0,0.01,0.0,0.0,0.01,0.01,0.09
video_35,0.03,0.0,0.0,0.0,0.0,0.12,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.07,0.75
video_36,0.12,0.01,0.0,0.0,0.0,0.75,0.0,0.0,0.0,0.0,0.01,0.0,0.02,0.01,0.01,0.0,0.01,0.0,0.0,0.01,0.03,0.0
video_37,0.02,0.0,0.0,0.01,0.0,0.02,0.01,0.0,0.01,0.01,0.06,0.01,0.02,0.01,0.01,0.01,0.01,0.01,0.01,0.01,0.52,0.25
video_38,0.02,0.0,0.0,0.0,0.0,0.25,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.01,0.71
video_39,0.11,0.0,0.0,0.0,0.0,0.62,0.0,0.0,0.01,0.0,0.0,0.01,0.04,0.02,0.05,0.02,0.02,0.02,0.01,0.01,0.01,0.05
video_40,0.01,0.06,0.0,0.01,0.01,0.19,0.0,0.0,0.0,0.0,0.0,0.0,0.16,0.03,0.16,0.03,0.02,0.06,0.0,0.02,0.12,0.11
video_41,0.08,0.0,0.0,0.0,0.0,0.26,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.01,0.0,0.6,0.03
video_42,0.02,0.79,0.0,0.0,0.0,0.01,0.0,0.01,0.0,0.0,0.01,0.0,0.01,0.0,0.02,0.0,0.0,0.0,0.0,0.0,0.12,0.01
video_43,0.02,0.01,0.0,0.0,0.0,0.45,0.0,0.0,0.0,0.0,0.0,0.01,0.05,0.03,0.03,0.01,0.02,0.02,0.01,0.0,0.13,0.2
video_44,0.02,0.01,0.0,0.0,0.0,0.29,0.0,0.0,0.0,0.0,0.01,0.0,0.02,0.01,0.02,0.01,0.0,0.02,0.0,0.01,0.43,0.13
video_45,0.1,0.01,0.0,0.0,0.0,0.44,0.0,0.0,0.0,0.0,0.0,0.01,0.01,0.0,0.0,0.0,0.0,0.0,0.01,0.0,0.15,0.25
video_46,0.05,0.08,0.0,0.02,0.02,0.27,0.0,0.0,0.0,0.0,0.03,0.01,0.01,0.0,0.0,0.01,0.0,0.01,0.01,0.05,0.19,0.23
video_47,0.08,0.01,0.0,0.01,0.0,0.07,0.01,0.0,0.0,0.0,0.21,0.02,0.04,0.02,0.04,0.02,0.01,0.02,0.0,0.01,0.32,0.11
video_48,0.01,0.01,0.01,0.01,0.0,0.2,0.0,0.0,0.0,0.0,0.01,0.01,0.04,0.03,0.03,0.01,0.02,0.02,0.02,0.0,0.27,0.29
video_49,0.07,0.0,0.0,0.0,0.0,0.23,0.0,0.0,0.0,0.0,0.0,0.0,0.01,0.0,0.0,0.0,0.0,0.0,0.0,0.01,0.03,0.63
video_50,0.02,0.03,0.0,0.0,0.01,0.32,0.0,0.0,0.0,0.0,0.01,0.0,0.07,0.02,0.1,0.03,0.0,0.05,0.0,0.01,0.22,0.09
video_51,0.05,0.01,0.0,0.0,0.01,0.07,0.0,0.0,0.0,0.0,0.02,0.0,0.03,0.01,0.02,0.01,0.01,0.02,0.0,0.01,0.36,0.35
video_52,0.01,0.0,0.0,0.0,0.0,0.17,0.0,0.0,0.0,0.0,0.0,0.0,0.19,0.04,0.18,0.01,0.02,0.02,0.0,0.01,0.33,0.0
video_53,0.01,0.0,0.0,0.01,0.0,0.31,0.0,0.0,0.0,0.0,0.0,0.0,0.03,0.01,0.03,0.01,0.0,0.01,0.0,0.01,0.5,0.07
video_54,0.02,0.04,0.0,0.01,0.01,0.25,0.0,0.0,0.0,0.0,0.01,0.0,0.2,0.06,0.13,0.04,0.01,0.08,0.0,0.02,0.02,0.11
video_55,0.01,0.01,0.0,0.01,0.02,0.27,0.0,0.0,0.0,0.0,0.01,0.0,0.03,0.01,0.02,0.02,0.0,0.03,0.0,0.01,0.15,0.39
video_56,0.1,0.01,0.01,0.0,0.0,0.58,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.03,0.0,0.05,0.18
video_57,0.01,0.0,0.0,0.0,0.0,0.03,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.82,0.12
video_58,0.11,0.01,0.0,0.0,0.0,0.19,0.01,0.0,0.02,0.0,0.0,0.01,0.01,0.0,0.01,0.0,0.0,0.0,0.0,0.01,0.45,0.14
video_59,0.02,0.03,0.0,0.01,0.01,0.13,0.0,0.0,0.0,0.0,0.1,0.01,0.15,0.04,0.12,0.04,0.03,0.03,0.0,0.01,0.16,0.11
video_60,0.06,0.12,0.0,0.04,0.01,0.51,0.0,0.0,0.0,0.02,0.0,0.0,0.02,0.0,0.01,0.0,0.01,0.0,0.01,0.01,0.03,0.13
video_61,0.07,0.0,0.0,0.0,0.0,0.57,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.33,0.0
video_62,0.01,0.0,0.0,0.0,0.01,0.72,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.04,0.2
video_63,0.07,0.01,0.0,0.0,0.0,0.69,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.02,0.17
video_64,0.0,0.0,0.0,0.0,0.0,0.76,0.0,0.0,0.0,0.0,0.0,0.0,0.02,0.01,0.02,0.0,0.01,0.0,0.0,0.01,0.05,0.09
video_65,0.02,0.01,0.0,0.0,0.0,0.07,0.0,0.0,0.01,0.01,0.0,0.0,0.0,0.0,0.0,0.01,0.0,0.0,0.0,0.0,0.47,0.38
video_66,0.04,0.08,0.0,0.01,0.0,0.13,0.01,0.0,0.0,0.0,0.01,0.0,0.08,0.02,0.09,0.0,0.02,0.02,0.0,0.08,0.31,0.07
video_67,0.01,0.01,0.0,0.02,0.0,0.39,0.0,0.0,0.0,0.0,0.0,0.0,0.05,0.01,0.03,0.03,0.01,0.06,0.01,0.0,0.26,0.08
video_68,0.01,0.01,0.0,0.01,0.01,0.63,0.0,0.0,0.0,0.0,0.0,0.0,0.02,0.01,0.04,0.01,0.01,0.02,0.01,0.07,0.05,0.09
video_69,0.0,0.0,0.0,0.0,0.0,0.29,0.0,0.0,0.0,0.0,0.0,0.0,0.09,0.03,0.08,0.01,0.01,0.02,0.0,0.01,0.41,0.04
video_70,0.03,0.0,0.0,0.0,0.0,0.23,0.0,0.0,0.0,0.0,0.0,0.0,0.01,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.03,0.67
video_71,0.01,0.01,0.0,0.0,0.0,0.67,0.0,0.0,0.0,0.01,0.0,0.0,0.03,0.02,0.03,0.02,0.01,0.01,0.0,0.02,0.01,0.14
video_72,0.04,0.0,0.0,0.04,0.0,0.19,0.0,0.0,0.0,0.0,0.0,0.0,0.01,0.01,0.01,0.0,0.0,0.0,0.0,0.01,0.64,0.03
video_73,0.04,0.01,0.0,0.01,0.01,0.68,0.0,0.0,0.0,0.0,0.0,0.0,0.01,0.01,0.01,0.01,0.0,0.01,0.01,0.01,0.16,0.02
video_74,0.1,0.0,0.0,0.0,0.0,0.32,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.02,0.0,0.53,0.0
video_75,0.08,0.02,0.0,0.0,0.0,0.1,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.09,0.67
video_76,0.14,0.01,0.0,0.0,0.0,0.24,0.0,0.0,0.01,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.01,0.04,0.52
video_77,0.1,0.0,0.0,0.0,0.0,0.09,0.0,0.0,0.01,0.0,0.0,0.0,0.01,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.72,0.05
video_78,0.02,0.0,0.0,0.0,0.0,0.01,0.0,0.0,0.0,0.0,0.0,0.0,0.03,0.0,0.0,0.0,0.0,0.0,0.0,0.01,0.78,0.13
video_79,0.01,0.01,0.0,0.0,0.0,0.71,0.0,0.0,0.0,0.0,0.0,0.0,0.04,0.01,0.02,0.01,0.02,0.0,0.0,0.02,0.03,0.11
video_80,0.01,0.0,0.0,0.01,0.0,0.2,0.0,0.0,0.01,0.0,0.0,0.0,0.01,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.12,0.62
video_81,0.21,0.02,0.0,0.01,0.0,0.05,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.01,0.65,0.03
video_82,0.06,0.02,0.01,0.0,0.0,0.12,0.0,0.0,0.0,0.0,0.0,0.0,0.01,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.12,0.63
video_83,0.07,0.01,0.0,0.0,0.0,0.77,0.0,0.0,0.0,0.0,0.0,0.0,0.02,0.01,0.02,0.0,0.02,0.0,0.0,0.0,0.04,0.0
video_84,0.02,0.01,0.0,0.0,0.0,0.81,0.0,0.0,0.0,0.0,0.0,0.0,0.02,0.01,0.03,0.0,0.02,0.0,0.0,0.05,0.0,0.02
video_85,0.04,0.01,0.0,0.0,0.0,0.11,0.0,0.0,0.01,0.02,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.21,0.57
video_86,0.14,0.01,0.01,0.0,0.0,0.1,0.0,0.0,0.0,0.0,0.0,0.0,0.02,0.01,0.01,0.01,0.0,0.01,0.01,0.01,0.07,0.58
video_87,0.02,0.08,0.0,0.01,0.01,0.16,0.0,0.0,0.01,0.0,0.0,0.0,0.24,0.09,0.24,0.01,0.01,0.01,0.0,0.0,0.02,0.08
video_88,0.01,0.01,0.0,0.0,0.0,0.77,0.0,0.0,0.01,0.0,0.0,0.0,0.03,0.01,0.02,0.0,0.02,0.0,0.0,0.02,0.03,0.06
video_89,0.02,0.01,0.0,0.0,0.0,0.36,0.0,0.0,0.01,0.0,0.0,0.01,0.18,0.05,0.12,0.01,0.03,0.02,0.0,0.01,0.14,0.02
video_90,0.03,0.0,0.0,0.01,0.0,0.04,0.0,0.0,0.02,0.0,0.0,0.0,0.01,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.52,0.35
video_91,0.13,0.0,0.0,0.01,0.0,0.05,0.0,0.0,0.02,0.01,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.01,0.01,0.02,0.48,0.22
